cultivo,campania,provincia,departamento,id_provincia,id_departamento,sup_sembrada_ha,sup_cosechada_ha,produccion_tn,rendimiento_kg_ha,codigo_indec
Maíz,2021/22,BUENOS AIRES,25 DE MAYO,6,854,60700,44007,323451,7350,06854
Maíz,2022/23,BUENOS AIRES,25 DE MAYO,6,854,59486,43573,213072,4890,06854
Maíz,2023/24,BUENOS AIRES,25 DE MAYO,6,854,58128,42607,304640,7150,06854
Maíz,2024/25,BUENOS AIRES,25 DE MAYO,6,854,60435,44461,331679,7460,06854
Maíz,2021/22,BUENOS AIRES,9 DE JULIO,6,588,69000,62100,496800,8000,06588
Maíz,2022/23,BUENOS AIRES,9 DE JULIO,6,588,60000,51700,206800,4000,06588
Maíz,2023/24,BUENOS AIRES,9 DE JULIO,6,588,72000,68237,545896,8000,06588
Maíz,2024/25,BUENOS AIRES,9 DE JULIO,6,588,72000,68300,580550,8500,06588
Maíz,2021/22,BUENOS AIRES,ADOLFO ALSINA,6,7,79000,34000,244800,7200,06007
Maíz,2022/23,BUENOS AIRES,ADOLFO ALSINA,6,7,79000,38000,209000,5500,06007
Maíz,2023/24,BUENOS AIRES,ADOLFO ALSINA,6,7,79000,40000,260000,6500,06007
Maíz,2024/25,BUENOS AIRES,ADOLFO ALSINA,6,7,106000,44000,286000,6500,06007
Maíz,2021/22,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,22299,16383,57339,3500,06014
Maíz,2022/23,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,25729,18010,82847,4600,06014
Maíz,2023/24,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,23119,16415,98487,6000,06014
Maíz,2024/25,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,35734,28590,171540,6000,06014
Maíz,2021/22,BUENOS AIRES,ALBERTI,6,21,26000,23400,187200,8000,06021
Maíz,2022/23,BUENOS AIRES,ALBERTI,6,21,22000,18600,55800,3000,06021
Maíz,2023/24,BUENOS AIRES,ALBERTI,6,21,31000,29400,235200,8000,06021
Maíz,2024/25,BUENOS AIRES,ALBERTI,6,21,25000,23600,200600,8500,06021
Maíz,2021/22,BUENOS AIRES,ARRECIFES,6,77,19800,18000,121500,6750,06077
Maíz,2022/23,BUENOS AIRES,ARRECIFES,6,77,19220,10236,47086,4600,06077
Maíz,2023/24,BUENOS AIRES,ARRECIFES,6,77,28647,26147,230094,8800,06077
Maíz,2024/25,BUENOS AIRES,ARRECIFES,6,77,19500,16500,132000,8000,06077
Maíz,2021/22,BUENOS AIRES,AYACUCHO,6,42,36000,31500,214200,6800,06042
Maíz,2022/23,BUENOS AIRES,AYACUCHO,6,42,47600,43100,215500,5000,06042
Maíz,2023/24,BUENOS AIRES,AYACUCHO,6,42,47000,41700,271050,6500,06042
Maíz,2024/25,BUENOS AIRES,AYACUCHO,6,42,47000,42500,246500,5800,06042
Maíz,2021/22,BUENOS AIRES,AZUL,6,49,69500,45500,300300,6600,06049
Maíz,2022/23,BUENOS AIRES,AZUL,6,49,64581,45581,259812,5700,06049
Maíz,2023/24,BUENOS AIRES,AZUL,6,49,51453,40162,281134,7000,06049
Maíz,2024/25,BUENOS AIRES,AZUL,6,49,54845,43145,237298,5500,06049
Maíz,2021/22,BUENOS AIRES,BAHIA BLANCA,6,56,2400,500,1500,3000,06056
Maíz,2021/22,BUENOS AIRES,BALCARCE,6,63,62000,48000,321600,6700,06063
Maíz,2022/23,BUENOS AIRES,BALCARCE,6,63,66373,48373,299913,6200,06063
Maíz,2023/24,BUENOS AIRES,BALCARCE,6,63,52332,42912,300384,7000,06063
Maíz,2024/25,BUENOS AIRES,BALCARCE,6,63,52768,43068,279942,6500,06063
Maíz,2021/22,BUENOS AIRES,BARADERO,6,70,21300,19800,132660,6700,06070
Maíz,2022/23,BUENOS AIRES,BARADERO,6,70,26607,24805,109142,4400,06070
Maíz,2023/24,BUENOS AIRES,BARADERO,6,70,15793,13793,122758,8900,06070
Maíz,2024/25,BUENOS AIRES,BARADERO,6,70,19850,17550,136890,7800,06070
Maíz,2021/22,BUENOS AIRES,BENITO JUAREZ,6,84,29500,18500,120250,6500,06084
Maíz,2022/23,BUENOS AIRES,BENITO JUAREZ,6,84,32643,22643,113215,5000,06084
Maíz,2023/24,BUENOS AIRES,BENITO JUAREZ,6,84,28992,22006,132036,6000,06084
Maíz,2024/25,BUENOS AIRES,BENITO JUAREZ,6,84,33043,25443,127215,5000,06084
Maíz,2021/22,BUENOS AIRES,BOLIVAR,6,105,56300,43914,373269,8500,06105
Maíz,2022/23,BUENOS AIRES,BOLIVAR,6,105,48800,36844,239486,6500,06105
Maíz,2023/24,BUENOS AIRES,BOLIVAR,6,105,58000,43790,306530,7000,06105
Maíz,2024/25,BUENOS AIRES,BOLIVAR,6,105,58000,40000,280000,7000,06105
Maíz,2021/22,BUENOS AIRES,BRAGADO,6,112,46000,41400,331200,8000,06112
Maíz,2022/23,BUENOS AIRES,BRAGADO,6,112,35000,30100,105350,3500,06112
Maíz,2023/24,BUENOS AIRES,BRAGADO,6,112,40000,37916,303328,8000,06112
Maíz,2024/25,BUENOS AIRES,BRAGADO,6,112,40000,37550,319175,8500,06112
Maíz,2021/22,BUENOS AIRES,BRANDSEN,6,119,1600,600,3900,6500,06119
Maíz,2022/23,BUENOS AIRES,BRANDSEN,6,119,1700,350,1925,5500,06119
Maíz,2023/24,BUENOS AIRES,BRANDSEN,6,119,2170,570,4446,7800,06119
Maíz,2024/25,BUENOS AIRES,BRANDSEN,6,119,2170,570,3990,7000,06119
Maíz,2021/22,BUENOS AIRES,CAMPANA,6,126,1360,1260,8159,6475,06126
Maíz,2022/23,BUENOS AIRES,CAMPANA,6,126,1000,750,3675,4900,06126
Maíz,2023/24,BUENOS AIRES,CAMPANA,6,126,2200,2200,19360,8800,06126
Maíz,2024/25,BUENOS AIRES,CAMPANA,6,126,2200,2200,17600,8000,06126
Maíz,2021/22,BUENOS AIRES,CANUELAS,6,134,2300,1620,11016,6800,06134
Maíz,2022/23,BUENOS AIRES,CANUELAS,6,134,2500,1250,6875,5500,06134
Maíz,2023/24,BUENOS AIRES,CANUELAS,6,134,3700,2350,18330,7800,06134
Maíz,2024/25,BUENOS AIRES,CANUELAS,6,134,3700,2350,16450,7000,06134
Maíz,2021/22,BUENOS AIRES,CAPITAN SARMIENTO,6,140,9800,8400,57834,6885,06140
Maíz,2022/23,BUENOS AIRES,CAPITAN SARMIENTO,6,140,12507,6351,30485,4800,06140
Maíz,2023/24,BUENOS AIRES,CAPITAN SARMIENTO,6,140,8493,8043,71583,8900,06140
Maíz,2024/25,BUENOS AIRES,CAPITAN SARMIENTO,6,140,8500,7900,63990,8100,06140
Maíz,2021/22,BUENOS AIRES,CARLOS CASARES,6,147,41200,27604,234634,8500,06147
Maíz,2022/23,BUENOS AIRES,CARLOS CASARES,6,147,39500,26400,17160,650,06147
Maíz,2023/24,BUENOS AIRES,CARLOS CASARES,6,147,40500,28601,233956,8180,06147
Maíz,2024/25,BUENOS AIRES,CARLOS CASARES,6,147,50223,30885,262523,8500,06147
Maíz,2021/22,BUENOS AIRES,CARLOS TEJEDOR,6,154,48769,43369,364300,8400,06154
Maíz,2022/23,BUENOS AIRES,CARLOS TEJEDOR,6,154,48100,42100,231550,5500,06154
Maíz,2023/24,BUENOS AIRES,CARLOS TEJEDOR,6,154,50500,43398,314692,7251,06154
Maíz,2024/25,BUENOS AIRES,CARLOS TEJEDOR,6,154,43347,39738,325852,8200,06154
Maíz,2021/22,BUENOS AIRES,CARMEN DE ARECO,6,161,25000,23900,133840,5600,06161
Maíz,2022/23,BUENOS AIRES,CARMEN DE ARECO,6,161,20000,17000,85000,5000,06161
Maíz,2023/24,BUENOS AIRES,CARMEN DE ARECO,6,161,22500,18500,166500,9000,06161
Maíz,2024/25,BUENOS AIRES,CARMEN DE ARECO,6,161,17000,15300,122400,8000,06161
Maíz,2021/22,BUENOS AIRES,CASTELLI,6,168,9000,3000,21000,7000,06168
Maíz,2022/23,BUENOS AIRES,CASTELLI,6,168,9000,3000,12000,4000,06168
Maíz,2023/24,BUENOS AIRES,CASTELLI,6,168,10000,4000,20000,5000,06168
Maíz,2024/25,BUENOS AIRES,CASTELLI,6,168,10000,4000,22000,5500,06168
Maíz,2021/22,BUENOS AIRES,CHACABUCO,6,210,44000,42500,301750,7100,06210
Maíz,2022/23,BUENOS AIRES,CHACABUCO,6,210,48000,40800,204000,5000,06210
Maíz,2023/24,BUENOS AIRES,CHACABUCO,6,210,37000,32000,320000,10000,06210
Maíz,2024/25,BUENOS AIRES,CHACABUCO,6,210,34000,30600,244800,8000,06210
Maíz,2021/22,BUENOS AIRES,CHASCOMUS,6,217,11050,5960,41720,7000,06217
Maíz,2022/23,BUENOS AIRES,CHASCOMUS,6,217,12500,8000,44048,5506,06217
Maíz,2023/24,BUENOS AIRES,CHASCOMUS,6,217,15930,11630,91877,7900,06217
Maíz,2024/25,BUENOS AIRES,CHASCOMUS,6,217,11900,7600,53200,7000,06217
Maíz,2021/22,BUENOS AIRES,CHIVILCOY,6,224,36000,32400,243000,7500,06224
Maíz,2022/23,BUENOS AIRES,CHIVILCOY,6,224,23000,16900,50700,3000,06224
Maíz,2023/24,BUENOS AIRES,CHIVILCOY,6,224,37000,35036,280288,8000,06224
Maíz,2024/25,BUENOS AIRES,CHIVILCOY,6,224,32000,30100,240800,8000,06224
Maíz,2021/22,BUENOS AIRES,COLON,6,175,20350,18750,138750,7400,06175
Maíz,2022/23,BUENOS AIRES,COLON,6,175,13702,9891,49455,5000,06175
Maíz,2023/24,BUENOS AIRES,COLON,6,175,18104,17604,160196,9100,06175
Maíz,2024/25,BUENOS AIRES,COLON,6,175,17800,17050,139810,8200,06175
Maíz,2021/22,BUENOS AIRES,CORONEL DE MARINA L ROSALES,6,182,3500,2500,9500,3800,06182
Maíz,2022/23,BUENOS AIRES,CORONEL DE MARINA L ROSALES,6,182,3500,1500,5250,3500,06182
Maíz,2023/24,BUENOS AIRES,CORONEL DE MARINA L ROSALES,6,182,3500,1500,4500,3000,06182
Maíz,2024/25,BUENOS AIRES,CORONEL DE MARINA L ROSALES,6,182,3500,1500,5025,3350,06182
Maíz,2021/22,BUENOS AIRES,CORONEL DORREGO,6,189,66418,49107,147322,3000,06189
Maíz,2022/23,BUENOS AIRES,CORONEL DORREGO,6,189,68696,48087,216392,4500,06189
Maíz,2023/24,BUENOS AIRES,CORONEL DORREGO,6,189,91406,38391,95978,2500,06189
Maíz,2024/25,BUENOS AIRES,CORONEL DORREGO,6,189,95620,64731,291290,4500,06189
Maíz,2021/22,BUENOS AIRES,CORONEL PRINGLES,6,196,20097,14857,59427,4000,06196
Maíz,2022/23,BUENOS AIRES,CORONEL PRINGLES,6,196,33901,23731,90177,3800,06196
Maíz,2023/24,BUENOS AIRES,CORONEL PRINGLES,6,196,26869,13010,52040,4000,06196
Maíz,2024/25,BUENOS AIRES,CORONEL PRINGLES,6,196,40943,32737,150590,4600,06196
Maíz,2021/22,BUENOS AIRES,CORONEL SUAREZ,6,203,48000,29030,232240,8000,06203
Maíz,2022/23,BUENOS AIRES,CORONEL SUAREZ,6,203,45000,37500,225000,6000,06203
Maíz,2023/24,BUENOS AIRES,CORONEL SUAREZ,6,203,45000,32000,153600,4800,06203
