km,tarifa_pesos_tn
1,10015.44
2,10015.44
3,10015.44
4,10015.44
5,10015.44
6,10015.44
7,10015.44
8,10015.44
9,10015.44
10,10015.44
11,10251.86
12,10493.48
13,10735.10
14,10981.91
15,11236.53
16,11496.33
17,11756.13
18,12026.33
19,12301.72
20,12579.71
21,12816.13
22,13055.15
23,13304.56
24,13551.38
25,13808.58
26,14073.58
27,14341.18
28,14616.57
29,14899.76
30,15190.74
31,15364.81
32,15541.47
33,15718.14
34,15897.41
35,16079.27
36,16261.13
37,16440.40
38,16624.86
39,16809.32
40,16998.97
41,17186.03
42,17373.09
43,17565.35
44,17755.00
45,17949.86
46,18144.71
47,18342.16
48,18539.61
49,18739.66
50,18939.71
51,19098.19
52,19256.67
53,19417.75
54,19578.83
55,19742.50
56,19903.58
57,20067.26
58,20230.94
59,20397.21
60,20563.48
61,20732.36
62,20901.23
63,21070.10
64,21236.38
65,21410.45
66,21581.92
67,21755.98
68,21927.46
69,22106.72
70,22280.79
71,22460.05
72,22636.72
73,22818.58
74,23000.45
75,23184.91
76,23366.77
77,23553.83
78,23738.29
79,23930.54
80,24117.60
81,24309.86
82,24502.11
83,24696.97
84,24891.82
85,25089.27
86,25289.32
87,25489.37
88,25689.42
89,25894.66
90,26099.91
91,26307.75
92,26518.19
93,26728.63
94,26941.67
95,27154.71
96,27370.35
97,27591.18
98,27812.02
99,28035.45
100,28261.48
101,28393.98
102,28531.67
103,28669.37
104,28804.47
105,28939.56
106,29077.26
107,29212.36
108,29350.05
109,29487.75
110,29628.05
111,29763.14
112,29900.84
113,30041.14
114,30176.23
115,30316.53
116,30454.22
117,30594.52
118,30734.81
119,30872.51
120,31010.20
121,31150.50
122,31290.79
123,31431.08
124,31571.38
125,31714.27
126,31854.57
127,31994.86
128,32137.75
129,32278.05
130,32420.94
131,32563.83
132,32704.12
133,32847.02
134,32989.91
135,33132.80
136,33278.29
137,33421.18
138,33564.08
139,33709.57
140,33852.46
141,34000.55
142,34143.44
143,34288.93
144,34431.82
145,34579.91
146,34725.40
147,34870.89
148,35018.98
149,35164.47
150,35309.96
151,35460.64
152,35606.13
153,35756.82
154,35902.31
155,36053.00
156,36201.09
157,36349.17
158,36497.26
159,36647.95
160,36796.04
161,36949.32
162,37100.01
163,37248.10
164,37401.38
165,37552.07
166,37705.35
167,37856.04
168,38006.72
169,38160.01
170,38313.29
171,38463.98
172,38619.86
173,38773.15
174,38926.43
175,39082.31
176,39238.19
177,39391.48
178,39547.36
179,39703.24
180,39859.13
181,40015.01
182,40173.49
183,40329.37
184,40485.25
185,40643.73
186,40804.81
187,40963.29
188,41119.17
189,41277.66
190,41441.33
191,41599.81
192,41758.29
193,41921.97
194,42080.45
195,42241.53
196,42405.20
197,42566.28
198,42729.96
199,42891.04
200,43054.71
201,43202.80
202,43353.49
203,43506.77
204,43654.86
205,43805.55
206,43953.64
207,44106.92
208,44257.61
209,44410.89
210,44558.98
211,44712.26
212,44865.55
213,45018.84
214,45169.51
215,45322.81
216,45476.09
217,45629.37
218,45782.66
219,45938.54
220,46089.22
221,46245.11
222,46398.39
223,46554.27
224,46710.16
225,46866.04
226,47021.92
227,47177.80
228,47333.69
229,47489.57
230,47650.65
231,47806.53
232,47965.01
233,48120.89
234,48279.37
235,48440.45
236,48596.33
237,48754.81
238,48913.29
239,49076.97
240,49235.45
241,49393.93
242,49555.01
243,49716.09
244,49877.17
245,50040.84
246,50199.32
247,50360.40
248,50524.08
249,50690.35
250,50851.43
251,51015.11
252,51178.78
253,51342.46
254,51506.14
255,51669.81
256,51836.09
257,51999.77
258,52166.04
259,52334.91
260,52501.19
261,52664.86
262,52833.74
263,53000.01
264,53168.88
265,53335.16
266,53501.43
267,53670.30
268,53839.18
269,54010.65
270,54179.52
271,54348.39
272,54519.86
273,54688.74
274,54862.81
275,55034.28
276,55205.75
277,55377.22
278,55551.29
279,55725.35
280,55896.82
281,56070.89
282,56244.96
283,56421.63
284,56595.70
285,56772.36
286,56946.43
287,57120.50
288,57299.77
289,57473.84
290,57653.10
291,57829.77
292,58009.03
293,58188.30
294,58364.96
295,58546.83
296,58726.09
297,58907.95
298,59087.22
299,59269.08
300,59450.94
301,59583.44
302,59721.14
303,59856.24
304,59991.34
305,60126.43
306,60261.53
307,60396.63
308,60534.33
309,60666.83
310,60804.52
311,60937.02
312,61074.72
313,61209.81
314,61344.91
315,61482.60
316,61617.71
317,61752.81
318,61887.90
319,62025.60
320,62163.30
321,62298.39
322,62436.09
323,62571.19
324,62706.29
325,62843.98
326,62981.68
327,63116.78
328,63254.47
329,63392.17
330,63527.27
331,63667.56
332,63805.26
333,63940.36
334,64078.05
335,64215.75
336,64353.44
337,64491.14
338,64628.84
339,64766.53
340,64906.83
341,65041.92
342,65179.62
343,65319.92
344,65457.61
345,65595.31
346,65733.00
347,65873.30
348,66010.99
349,66151.29
350,66286.39
351,66426.68
352,66566.97
353,66704.67
354,66844.96
355,66985.26
356,67122.95
357,67260.65
358,67400.94
359,67541.24
360,67681.53
361,67821.83
362,67962.12
363,68102.42
364,68240.12
365,68377.81
366,68518.10
367,68658.40
368,68801.29
369,68941.58
370,69081.88
371,69222.17
372,69362.46
373,69502.76
374,69640.46
375,69785.95
376,69923.64
377,70063.94
378,70209.43
379,70347.12
380,70487.42
381,70630.31
382,70770.60
383,70913.49
384,71053.79
385,71196.68
386,71336.98
387,71482.47
388,71625.36
389,71765.65
390,71908.54
391,72051.44
392,72191.73
393,72334.62
394,72477.51
395,72620.41
396,72763.30
397,72903.59
398,73046.49
399,73189.38
400,73332.27
401,73436.19
402,73534.92
403,73633.64
404,73734.97
405,73833.69
406,73935.01
407,74033.74
408,74132.47
409,74233.79
410,74332.51
411,74431.24
412,74532.56
413,74631.29
414,74730.02
415,74831.34
416,74930.06
417,75028.79
418,75132.71
419,75231.44
420,75332.76
421,75431.49
422,75530.21
423,75631.53
424,75730.26
425,75828.99
426,75930.31
427,76029.03
428,76127.76
429,76229.08
430,76327.81
431,76429.13
432,76527.86
433,76626.58
434,76730.51
435,76829.23
436,76925.36
437,77029.28
438,77128.01
439,77226.73
440,77328.05
441,77426.78
442,77528.10
443,77626.83
444,77725.55
445,77826.88
446,77925.60
447,78024.33
448,78125.65
449,78224.38
450,78323.10
451,78424.43
452,78523.15
453,78621.88
454,78725.80
455,78824.53
456,78925.85
457,79024.57
458,79123.30
459,79224.62
460,79323.35
461,79422.07
